#The first 6 parameters give the dimensions of a cell. The 7-9 parameters are the cell center. The 10th parameter is the value within the cell.
#x0(m)                x1(m)                 #y0(m)                y1(m)                 #z0(m)                z1(m)                 xc(m)                 yc(m)                 zc(m)                 value                 
0.00000000000000e+00  2.00000000000000e+02  0.00000000000000e+00  2.00000000000000e+02  0.00000000000000e+00  2.00000000000000e+02  1.00000000000000e+02  1.00000000000000e+02  1.00000000000000e+02  2.87279321524844e-01  
0.00000000000000e+00  2.00000000000000e+02  0.00000000000000e+00  2.00000000000000e+02  2.00000000000000e+02  4.00000000000000e+02  1.00000000000000e+02  1.00000000000000e+02  3.00000000000000e+02  -4.01338907512673e-01 
0.00000000000000e+00  2.00000000000000e+02  0.00000000000000e+00  2.00000000000000e+02  4.00000000000000e+02  6.00000000000000e+02  1.00000000000000e+02  1.00000000000000e+02  5.00000000000000e+02  -2.08710598992246e+00 
0.00000000000000e+00  2.00000000000000e+02  0.00000000000000e+00  2.00000000000000e+02  6.00000000000000e+02  8.00000000000000e+02  1.00000000000000e+02  1.00000000000000e+02  7.00000000000000e+02  -2.48167883292766e+00 
0.00000000000000e+00  2.00000000000000e+02  0.00000000000000e+00  2.00000000000000e+02  8.00000000000000e+02  1.00000000000000e+03  1.00000000000000e+02  1.00000000000000e+02  9.00000000000000e+02  -3.00516228518152e+00 
0.00000000000000e+00  2.00000000000000e+02  2.00000000000000e+02  4.00000000000000e+02  0.00000000000000e+00  2.00000000000000e+02  1.00000000000000e+02  3.00000000000000e+02  1.00000000000000e+02  4.13199649378480e-01  
0.00000000000000e+00  2.00000000000000e+02  2.00000000000000e+02  4.00000000000000e+02  2.00000000000000e+02  4.00000000000000e+02  1.00000000000000e+02  3.00000000000000e+02  3.00000000000000e+02  -7.41603697789356e-01 
0.00000000000000e+00  2.00000000000000e+02  2.00000000000000e+02  4.00000000000000e+02  4.00000000000000e+02  6.00000000000000e+02  1.00000000000000e+02  3.00000000000000e+02  5.00000000000000e+02  -1.72312637097431e+00 
0.00000000000000e+00  2.00000000000000e+02  2.00000000000000e+02  4.00000000000000e+02  6.00000000000000e+02  8.00000000000000e+02  1.00000000000000e+02  3.00000000000000e+02  7.00000000000000e+02  -2.50563103526479e+00 
0.00000000000000e+00  2.00000000000000e+02  2.00000000000000e+02  4.00000000000000e+02  8.00000000000000e+02  1.00000000000000e+03  1.00000000000000e+02  3.00000000000000e+02  9.00000000000000e+02  -3.06042810003431e+00 
0.00000000000000e+00  2.00000000000000e+02  4.00000000000000e+02  6.00000000000000e+02  0.00000000000000e+00  2.00000000000000e+02  1.00000000000000e+02  5.00000000000000e+02  1.00000000000000e+02  1.62155806843333e-01  
0.00000000000000e+00  2.00000000000000e+02  4.00000000000000e+02  6.00000000000000e+02  2.00000000000000e+02  4.00000000000000e+02  1.00000000000000e+02  5.00000000000000e+02  3.00000000000000e+02  -6.14017202436910e-01 
0.00000000000000e+00  2.00000000000000e+02  4.00000000000000e+02  6.00000000000000e+02  4.00000000000000e+02  6.00000000000000e+02  1.00000000000000e+02  5.00000000000000e+02  5.00000000000000e+02  -1.35296607984984e+00 
0.00000000000000e+00  2.00000000000000e+02  4.00000000000000e+02  6.00000000000000e+02  6.00000000000000e+02  8.00000000000000e+02  1.00000000000000e+02  5.00000000000000e+02  7.00000000000000e+02  -2.35538726740315e+00 
0.00000000000000e+00  2.00000000000000e+02  4.00000000000000e+02  6.00000000000000e+02  8.00000000000000e+02  1.00000000000000e+03  1.00000000000000e+02  5.00000000000000e+02  9.00000000000000e+02  -3.12233458848073e+00 
0.00000000000000e+00  2.00000000000000e+02  6.00000000000000e+02  8.00000000000000e+02  0.00000000000000e+00  2.00000000000000e+02  1.00000000000000e+02  7.00000000000000e+02  1.00000000000000e+02  6.59932764306191e-01  
0.00000000000000e+00  2.00000000000000e+02  6.00000000000000e+02  8.00000000000000e+02  2.00000000000000e+02  4.00000000000000e+02  1.00000000000000e+02  7.00000000000000e+02  3.00000000000000e+02  -3.16698473439835e+00 
0.00000000000000e+00  2.00000000000000e+02  6.00000000000000e+02  8.00000000000000e+02  4.00000000000000e+02  6.00000000000000e+02  1.00000000000000e+02  7.00000000000000e+02  5.00000000000000e+02  -2.67449815023021e+00 
0.00000000000000e+00  2.00000000000000e+02  6.00000000000000e+02  8.00000000000000e+02  6.00000000000000e+02  8.00000000000000e+02  1.00000000000000e+02  7.00000000000000e+02  7.00000000000000e+02  -2.18174040452961e+00 
0.00000000000000e+00  2.00000000000000e+02  6.00000000000000e+02  8.00000000000000e+02  8.00000000000000e+02  1.00000000000000e+03  1.00000000000000e+02  7.00000000000000e+02  9.00000000000000e+02  -2.66434519280764e+00 
0.00000000000000e+00  2.00000000000000e+02  8.00000000000000e+02  1.00000000000000e+03  0.00000000000000e+00  2.00000000000000e+02  1.00000000000000e+02  9.00000000000000e+02  1.00000000000000e+02  5.51137445164964e-01  
0.00000000000000e+00  2.00000000000000e+02  8.00000000000000e+02  1.00000000000000e+03  2.00000000000000e+02  4.00000000000000e+02  1.00000000000000e+02  9.00000000000000e+02  3.00000000000000e+02  -1.93919336915038e+00 
0.00000000000000e+00  2.00000000000000e+02  8.00000000000000e+02  1.00000000000000e+03  4.00000000000000e+02  6.00000000000000e+02  1.00000000000000e+02  9.00000000000000e+02  5.00000000000000e+02  -2.54616718780800e+00 
0.00000000000000e+00  2.00000000000000e+02  8.00000000000000e+02  1.00000000000000e+03  6.00000000000000e+02  8.00000000000000e+02  1.00000000000000e+02  9.00000000000000e+02  7.00000000000000e+02  -2.77248661461639e+00 
0.00000000000000e+00  2.00000000000000e+02  8.00000000000000e+02  1.00000000000000e+03  8.00000000000000e+02  1.00000000000000e+03  1.00000000000000e+02  9.00000000000000e+02  9.00000000000000e+02  -3.56264462976887e+00 
0.00000000000000e+00  2.00000000000000e+02  1.00000000000000e+03  1.20000000000000e+03  0.00000000000000e+00  2.00000000000000e+02  1.00000000000000e+02  1.10000000000000e+03  1.00000000000000e+02  3.70689285389895e-01  
0.00000000000000e+00  2.00000000000000e+02  1.00000000000000e+03  1.20000000000000e+03  2.00000000000000e+02  4.00000000000000e+02  1.00000000000000e+02  1.10000000000000e+03  3.00000000000000e+02  -1.35094409424156e+00 
0.00000000000000e+00  2.00000000000000e+02  1.00000000000000e+03  1.20000000000000e+03  4.00000000000000e+02  6.00000000000000e+02  1.00000000000000e+02  1.10000000000000e+03  5.00000000000000e+02  -2.25711649663467e+00 
0.00000000000000e+00  2.00000000000000e+02  1.00000000000000e+03  1.20000000000000e+03  6.00000000000000e+02  8.00000000000000e+02  1.00000000000000e+02  1.10000000000000e+03  7.00000000000000e+02  -1.44317479371675e+00 
